file,5-1,7.1-1,7.1-2,7.1-3,7.1-5,7.1-6,7.1-7,7.1-9,7.2-3,7.2-4,7.2-5,7.2-10,7.2-14,7.2-17,7.2-18,7.2-19,7.2-20,7.2-26,7.2-27,7.2-29,7.2-41,7.2-42,7.2-43,7.4.2-1,7.5-1,7.11-1,7.15-1,7.18.1-2,7.18.1-3,7.18.4-1,7.18.5-1,7.18.5-2,7.20-2,7.21.4.1-1,7.21.4.1-2,7.21.4.2-2,7.21.5-1,7.21.6-3,7.21.7-1,7.21.7-2,7.21.8-1
interjurisdictional_handout3.pdf,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,
jcc-tribalstateforumnewsletter042023.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,O,,,,,,,,,
jcc-tribalstateforumnewsletter052023.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,O,,,,,,,,,
jcctribalstateforumnewsletter012024.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,O,,,,,,,,,
jcctribalstateforumnewsletter062023.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,O,,,,,,,,,
jcctribalstateforumnewsletter092023.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,O,,,,,,,,,
jcctribalstateforumnewsletter102023.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,O,,,,,,,,,
jcctribalstateforumnewsletter112023.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,O,,,,,,,,,
jcctribalstateforumnewsletter122023.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,O,,,,,,,,,
jcctribalstateforumnewsletteraugust2023.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,O,,,,,,,,,
jcctribalstateforumnewsletterjuly2023.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,,
jdca2008combinedv1v2.pdf,,,,O,O,,,,,,,,,,,,O,,,,,,O,,,,,,,,,,,,,,,,O,,
jdm_research_update_final.pdf,O,,,,,,O,O,,,,,,,,,,,,,,O,,,,,,,,,O,,,,,,,,,,
jourlv3.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jrta-icwa-symposiaia.pdf,O,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jurisdiction_in_california_indian_country.pdf,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
